time,X_value,Y_value,Z_value
12.877,-2.71795,1.16044,-15.53817
12.939,-2.77875,1.13692,-15.52383
13.059,-2.68647,1.20403,-15.51915
13.179,-2.64725,1.40821,-15.50636
13.238,-2.57785,1.46042,-15.48833
13.357,-2.59114,1.43542,-15.47021
13.477,-2.38698,1.65487,-15.44671
13.541,-2.29849,1.7916,-15.44666
13.66,-2.1668,1.75021,-15.43531
13.779,-2.0834,1.78176,-15.4103
13.838,-1.93299,1.87281,-15.40157
13.961,-1.71175,2.10317,-15.38018
14.081,-1.58786,2.13193,-15.37726
14.139,-1.52798,2.04995,-15.37869
14.295,-1.56724,1.91811,-15.37239
14.387,-1.9039,1.78114,-15.37983
14.442,-2.09217,1.77896,-15.39612
14.559,-2.46616,1.78732,-15.39729
14.679,-2.97852,1.95069,-15.4132
14.742,-3.14999,2.10252,-15.40604
14.86,-3.6068,2.24157,-15.37093
14.978,-3.83405,1.80491,-15.36358
15.043,-3.80933,1.60193,-15.3687
15.163,-3.81211,1.69127,-15.35881
15.278,-3.66299,1.98541,-15.33446
15.343,-3.63686,1.86581,-15.30964
15.459,-3.65163,1.87097,-15.2938
15.58,-3.53804,1.98286,-15.27138
15.662,-3.41939,2.09595,-15.26302
15.761,-3.3238,1.78448,-15.24982
15.883,-3.14519,1.78653,-15.24643
15.94,-3.01985,2.00516,-15.24948
16.067,-3.00153,1.9484,-15.23952
16.194,-3.03666,1.93885,-15.24218
16.242,-3.12288,1.80208,-15.25568
16.362,-3.19123,1.98147,-15.26541
16.481,-3.18189,2.05192,-15.26884
16.539,-3.16356,2.1491,-15.2707
16.664,-3.18693,1.99769,-15.27766
16.78,-3.08234,1.80435,-15.2826
16.851,-3.00503,1.78519,-15.26747
16.964,-2.79082,1.89178,-15.27384
17.084,-2.63083,1.99028,-15.26781
17.162,-2.50505,2.02814,-15.26552
17.267,-2.30604,2.21756,-15.23541
17.382,-2.11733,2.40851,-15.21313
17.454,-2.05517,2.50326,-15.20927
